,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,District Code,School Code,Charter Number,Charter Fund Type,Local Educational Agency,District Type,"County Office of Education LCFF State Aid 
(0000-8011)
A-1","School District LCFF State Aid
 (0000-8011)
A-2","Charter School LCFF State Aid
 (0000-8011)
A-3","School District Basic Aid ""Choice""
 (0000-8011)
A-4","School District Basic Aid Court-Ordered Voluntary Pupil Transfer 
(0000-8011)
A-5","School District Basic Aid Open Enrollment 
(0000-8011)
A-6","School District Basic Aid Supplement Charter School Adjustment 
(0000-8011)
A-7","Adults in Correctional Facilities 
(6015-8311)
A-8","Special Education 
AB 602
(6500-8311)
A-9","Special Education
Infants 0-2 
(6510-8311)
A-10","Special Education
Mental Health Services
(6546-8590)
A-11","Special Education
Early Intervention Preschool Grant
(6547-8590)
A-12","Expanded Learning Opportunities Program
(2600-8590)
A-13","Transfer of Funds for County Served District Funded ADA
(0000-7142 for districts and 0000-8710 for COEs)
A-14","Other State Aid (Ch.44/2021, Ch.48/2023, and 38/2024) (7810-8590)
A-15","Home-to-School Transportation Reimbursement
(0000-8590)
A-16","Proposition 28: Arts and Music In Schools (6770-8590)
A-17","LCFF Equity Multiplier (7399-8590)
A-18","Student Support and Enrichment Block Grant (6018-8590) 
A-19","New or Expanding Charter Advance Payments 
(0000-8011)
A-20","School District Advance Payments of In-lieu of Property Tax Transfers for New or Expanding Charter Schools 
(0000-8011)
A-21","Amount Charter Overpaid
A-22","PY Amount Charter Overpaid
A-23","Adjustments and PY Recomputations
A-24","Total Principal Apportionment
(Sum of A-1 through A-24)
B-1","EPA Entitlement
(1400-8012)
C-1","Total of LCFF State Aid and EPA Entitlement
(A-1 + A-2 + A-3 + C-1)
D-1",Payment Type,Notes
01,61259,0111476,0780,D,Achieve Academy,UNIFIED, - , - ," 4,661,132 ", - , - , - , - , - , - , - ," 42,510 ", - ," 1,367,758 ", - , - , - ," 94,441 ", - , - , - , - , - , - ," 27,681 "," 6,193,522 "," 1,016,771 "," 5,677,903 ", 1 , - 
01,61259,0111856,0765,D,AIMS College Prep High,UNIFIED, - , - ," 3,625,870 ", - , - , - , - , - , - , - ," 30,308 ", - , - , - , - , - ," 59,638 ", - , - , - , - , - , - ," 77,193 "," 3,793,009 "," 864,566 "," 4,490,436 ", 1 , - 
01,61259,0114363,0882,D,American Indian Public Charter School II,UNIFIED, - , - ," 4,647,950 ", - , - , - , - , - , - , - ," 47,883 ", - ," 1,026,563 ", - , - , - ," 102,985 ", - , - , - , - , - , - ," 87,739 "," 5,913,120 "," 1,154,547 "," 5,802,497 ", 1 , - 
01,61259,0114868,0883,D,Oakland Charter High,UNIFIED, - , - ," 3,165,731 ", - , - , - , - , - , - , - ," 25,051 ", - , - , - , - , - ," 53,358 ", - , - , - , - , - , - ," 38,668 "," 3,282,808 "," 714,619 "," 3,880,350 ", 1 , - 
01,61259,0115014,0938,D,KIPP Bridge Academy,UNIFIED, - , - ," 4,391,798 ", - , - , - , - , - , - , - ," 39,026 ", - ," 809,914 ", - , - , - ," 85,302 ", - , - , - , - , - , - ," 23,075 "," 5,349,115 "," 945,733 "," 5,337,531 ", 1 , - 
01,61259,0115238,0837,D,ARISE High,UNIFIED, - , - ," 3,859,348 ", - , - , - , - , - , - , - ," 30,052 ", - , - , - , - , - ," 65,945 ", - , - , - , - , - , - ," 19,600 "," 3,974,945 "," 857,260 "," 4,716,608 ", 1 , - 
01,61259,0115592,1442,D,Learning Without Limits,UNIFIED, - , - ," 2,763,821 ", - , - , - , - , - , - , - ," 25,806 ", - ," 810,029 ", - , - , - ," 55,850 ", - , - , - , - , - , - ," 17,594 "," 3,673,100 "," 611,032 "," 3,374,853 ", 1 , - 
01,61259,0118224,1023,D,Aspire Golden State College Preparatory Academy,UNIFIED, - , - ," 3,587,976 ", - , - , - , - , - , - , - ," 31,023 ", - ," 134,778 ", - , - , - ," 76,592 ", - , - , - , - , - , - ," 21,038 "," 3,851,407 "," 819,596 "," 4,407,572 ", 1 , - 
01,61259,0126748,1449,D,LPS Oakland R & D Campus,UNIFIED, - , - ," 1,595,713 ", - , - , - , - , - , - , - ," 12,727 ", - , - , - , - , - ," 33,018 ", - , - , - , - , - , - ," 9,144 "," 1,650,602 "," 363,060 "," 1,958,773 ", 1 , - 
01,61259,0128413,1577,D,Aspire College Academy,UNIFIED, - , - ," 2,044,098 ", - , - , - , - , - , - , - ," 15,696 ", - ," 465,452 ", - , - , - ," 35,693 ", - , - , - , - , - , - ," 10,615 "," 2,571,554 "," 37,994 "," 2,082,092 ", 1 , - 
01,61259,0129635,1661,D,Downtown Charter Academy,UNIFIED, - , - ," 2,871,127 ", - , - , - , - , - , - , - ," 24,667 ", - ," 194,769 ", - , - , - ," 38,663 ", - , - , - , - , - , - ," 14,557 "," 3,143,783 "," 59,710 "," 2,930,837 ", 1 , - 
01,61259,0129932,1620,D,East Bay Innovation Academy,UNIFIED, - , - ," 3,529,507 ", - , - , - , - , - , - , - ," 35,592 ", - ," 51,083 ", - , - , - ," 67,122 ", - , - , - , - , - , - ," 26,623 "," 3,709,927 "," 86,154 "," 3,615,661 ", 1 , - 
01,61259,0130617,0349,D,"Oakland Military Institute, College Preparatory Academy",UNIFIED, - , - ," 4,346,663 ", - , - , - , - , - , - , - ," 38,155 ", - ," 163,529 ", - , - , - ," 89,508 ", - , - , - , - , - , - ," 24,808 "," 4,662,663 "," 1,012,566 "," 5,359,229 ", 1 , - 
01,61259,0130633,0413,D,Lighthouse Community Charter,UNIFIED, - , - ," 4,386,457 ", - , - , - , - , - , - , - ," 42,370 ", - ," 904,652 ", - , - , - ," 97,350 ", - , - , - , - , - , - ," 26,746 "," 5,457,575 "," 1,016,050 "," 5,402,507 ", 1 , - 
01,61259,0130666,0465,D,Aspire Lionel Wilson College Preparatory Academy,UNIFIED, - , - ," 3,445,000 ", - , - , - , - , - , - , - ," 30,048 ", - ," 97,357 ", - , - , - ," 69,245 ", - , - , - , - , - , - ," 18,283 "," 3,659,933 "," 801,753 "," 4,246,753 ", 1 , - 
01,61259,0130732,1663,D,Aspire Triumph Technology Academy,UNIFIED, - , - ," 2,068,689 ", - , - , - , - , - , - , - ," 16,158 ", - ," 542,229 ", - , - , - ," 42,922 ", - , - , - , - , - , - ," 12,308 "," 2,682,306 "," 39,112 "," 2,107,801 ", 1 , - 
01,61259,0132514,1708,D,Francophone Charter School of Oakland,UNIFIED, - , - ," 2,393,918 ", - , - , - , - , - , - , - ," 25,316 ", - ," 172,098 ", - , - , - ," 44,011 ", - , - , - , - , - , - ," (76,396)"," 2,558,947 "," 61,280 "," 2,455,198 ", 1 , - 
01,61259,0134015,1783,D,Lodestar: A Lighthouse Community Charter Public,UNIFIED, - , - ," 7,420,504 ", - , - , - , - , - , - , - ," 54,729 ", - ," 823,655 ", - , - , - ," 127,866 ", - , - , - , - , - , - ," (22,018)"," 8,404,736 "," 132,478 "," 7,552,982 ", 1 , - 
01,61259,3030772,0340,D,Oakland School for the Arts,UNIFIED, - , - ," 4,834,344 ", - , - , - , - , - , - , - ," 65,445 ", - ," 50,000 ", - , - , - ," 97,188 ", - , - , - , - , - , - ," 39,118 "," 5,086,095 "," 1,744,959 "," 6,579,303 ", 1 , - 
01,61259,6111660,0014,D,Oakland Charter Academy,UNIFIED, - , - ," 1,693,107 ", - , - , - , - , - , - , - ," 17,080 ", - ," 181,809 ", - , - , - ," 35,546 ", - , - , - , - , - , - ," 11,689 "," 1,939,231 "," 414,785 "," 2,107,892 ", 1 , - 
01,61259,6113807,0106,D,AIMS College Prep Middle,UNIFIED, - , - ," 1,426,200 ", - , - , - , - , - , - , - ," 15,372 ", - ," 68,232 ", - , - , - ," 34,885 ", - , - , - , - , - , - ," 30,769 "," 1,575,458 "," 374,743 "," 1,800,943 ", 1 , - 
01,61259,6117568,0252,D,Aspire Monarch Academy,UNIFIED, - , - ," 3,144,434 ", - , - , - , - , - , - , - ," 29,071 ", - ," 930,190 ", - , - , - ," 67,709 ", - , - , - , - , - , - ," 14,546 "," 4,185,950 "," 688,312 "," 3,832,746 ", 1 , - 
01,61259,6117972,0302,D,North Oakland Community Charter,UNIFIED, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 483,847 "," 483,847 ", - , - , 1 , * 
01,61259,6118608,1443,D,ASCEND,UNIFIED, - , - ," 4,073,649 ", - , - , - , - , - , - , - ," 38,555 ", - ," 872,524 ", - , - , - ," 82,001 ", - , - , - , - , - , - ," 23,959 "," 5,090,688 "," 922,310 "," 4,995,959 ", 1 , - 
01,61275,0000000,N/A,N/A,Piedmont City Unified,UNIFIED, - ," 9,491,580 ", - , - , - , - , - , - , - , - ," 196,060 "," 53,893 "," 71,835 ", - , - ," 259,309 "," 252,995 ", - , - , - , - , - , - ," 170,895 "," 10,496,567 "," 474,586 "," 9,966,166 ", 1 , - 
01,61291,0000000,N/A,N/A,San Leandro Unified,UNIFIED, - ," 66,660,146 ", - , - , - , - , - , - , - , - ," 690,937 "," 441,920 "," 9,441,233 "," (23,152)", - ," 1,423,830 "," 1,403,336 "," 386,889 ", - , - , - , - , - ," (850,600)"," 79,574,539 "," 16,934,711 "," 83,594,857 ", 1 , - 
01,61309,0000000,N/A,N/A,San Lorenzo Unified,UNIFIED, - ," 70,304,335 ", - , - , - , - , - , - , - , - ," 609,232 "," 382,638 "," 8,286,386 ", - , - ," 1,048,113 "," 1,343,964 "," 147,431 ", - , - , - , - , - ," 783,147 "," 82,905,246 "," 15,963,366 "," 86,267,701 ", 1 , - 
01,61309,0101212,0524,D,KIPP Summit Academy,UNIFIED, - , - ," 3,318,256 ", - , - , - , - , - , - , - ," 34,470 ", - ," 449,734 ", - , - , - ," 68,965 ", - , - , - , - , - , - ," 73,282 "," 3,944,707 "," 836,872 "," 4,155,128 ", 1 , - 
01,61309,0114421,0880,D,KIPP King Collegiate High,UNIFIED, - , - ," 6,245,898 ", - , - , - , - , - , - , - ," 51,802 ", - , - , - , - , - ," 111,545 ", - , - , - , - , - , - ," 117,938 "," 6,527,183 "," 1,477,696 "," 7,723,594 ", 1 , - 
